time,frame
1421107200,0
1421110800,1
1421114400,2
1421118000,3
1421121600,4
1421125200,5
1421128800,6
1421132400,7
1421136000,8
1421139600,9
1421143200,10
1421146800,11
1421150400,12
1421154000,13
1421157600,14
1421161200,15
1421164800,16
1421168400,17
1421172000,18
1421175600,19
1421179200,20
1421182800,21
1421186400,22
1421190000,23
1421193600,24
1421197200,25
1421200800,26
1421204400,27
1421208000,28
1421211600,29
1421215200,30
1421218800,31
1421222400,32
1421226000,33
1421229600,34
1421233200,35
1421236800,36
1421240400,37
1421244000,38
1421247600,39
1421251200,40
1421254800,41
1421258400,42
1421262000,43
1421265600,44
1421269200,45
1421272800,46
1421276400,47
1421280000,48
1421283600,49
1421287200,50
1421290800,51
1421294400,52
1421298000,53
1421301600,54
1421305200,55
1421308800,56
1421312400,57
1421316000,58
1421319600,59
1421323200,60
1421326800,61
1421330400,62
1421334000,63
1421337600,64
1421341200,65
1421344800,66
1421348400,67
1421352000,68
1421355600,69
1421359200,70
1421362800,71
1421366400,72
